매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구
176096.4475,2020,골목상권,2110949,한남IC,1,0,0,0,0,0,0,1,618,300,1683,68563,0,0,0,0,62126,0,0,0,53751.8,45365.0,112,2862.1916037557266,0.0,0.965779222869652,0.32192640762321734,2.7233009708737863
126471.4457,2020,골목상권,2110951,신사은행나무공원,1,0,0,0,0,0,0,1,1039,580,273,132250,0,0,0,1,29000,0,0,0,88243.0,72550.0,161,2862.3894353975898,0.0,1.0344827586206897,0.6896551724137931,0.2627526467757459
149246.779,2020,골목상권,2110952,논현목련공원,1,0,0,0,0,0,0,1,879,583,117,63079,0,0,0,0,21629,0,0,0,31289.2,31007.0,257,2863.109414346548,0.0,1.387026677146424,0.9246844514309492,0.13310580204778158
31144.86594,2020,골목상권,2110954,국기원,1,0,0,0,0,0,0,1,497,335,636,49829,0,0,0,2,39798,0,0,0,68773.2,63416.0,34,2863.3592517380325,0.0,0.7538067239559777,0.7538067239559777,1.2796780684104627
266085.7444,2020,골목상권,2110955,논현초등학교,1,0,0,0,0,0,0,1,7080,4369,3430,718388,0,0,0,2,190912,0,0,0,412457.8,380383.0,1958,2864.2386685788897,0.0,1.5190244720080455,0.5238015420717398,0.4844632768361582
206127.1594,2020,골목상권,2110957,언북중학교,1,0,0,0,0,0,0,1,1816,1116,1251,174285,0,0,0,3,94815,0,0,0,149910.0,98264.5,532,2863.34201523525,0.0,0.6328112640404999,0.8437483520539999,0.6888766519823789
150332.5688,2020,골목상권,2110958,역삼역 4번,1,0,0,0,0,0,0,1,858,528,994,66041,0,0,0,2,73119,0,0,0,68305.8,41353.5,290,2863.994946965157,0.0,0.4102900750830838,1.2308702252492512,1.1585081585081585
34016.88768,2020,골목상권,2110959,신구중학교,1,0,0,0,0,0,0,1,365,166,271,18745,0,0,0,0,35959,0,0,0,18927.0,14121.5,82,2864.5257525217617,0.0,0.8342834895297423,2.2247559720793126,0.7424657534246575
108198.6558,2020,골목상권,2110960,은광여고,1,0,0,0,0,0,0,1,719,417,1522,28094,0,0,0,1,25543,0,0,0,15853.8,13967.5,239,2865.3935817276406,0.0,1.1744900755588614,1.5659867674118155,2.1168289290681503
117854.308,2020,골목상권,2110961,언주역 3번,1,0,0,0,0,0,0,1,2169,1298,962,155417,1,0,0,1,63031,0,0,0,128248.2,97907.0,612,2865.751780554339,0.0,0.9519125509669845,0.47595627548349223,0.44352236053480865
72230.90217,2020,골목상권,2110963,역삼월드메르디앙아파트,1,0,0,0,0,0,0,1,1724,847,780,125411,0,0,0,1,40391,0,0,0,62460.8,56080.0,543,2865.6426014454937,0.0,0.7427397192443861,0.24757990641479538,0.45243619489559167
154421.9384,2020,골목상권,2110965,언주역 6번,1,0,0,0,0,0,0,1,2309,1512,1139,170160,0,0,0,2,65107,0,0,0,127219.6,99961.0,694,2865.409729922365,0.0,0.9215598937134256,0.30718663123780854,0.49328713728886964
87916.22554,2020,골목상권,2110966,논현2동주민센터,1,0,0,0,0,0,0,1,2887,1539,1637,284661,0,0,0,2,93544,0,0,0,267166.2,188422.0,843,2865.378260201267,0.0,0.4276062601556487,0.9621140853502095,0.5670245930031175
266156.4263,2020,골목상권,2110967,역삼역 8번,1,0,0,0,0,0,0,1,1307,877,377,128353,0,0,0,3,68671,0,0,0,98576.0,72275.5,379,2865.527460143066,0.0,1.310596904078869,1.019353147616898,0.2884468247895945
