매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,시간대_디코딩,분기_디코딩
67900.47464,2020,골목상권,2110980,개포지구대옆,2707,1114,663,139710,0,0,0,0,85827,0,0,0,77256.6,67897.5,679,2865.290736784288,0.0,0.3495403544339194,0.2330269029559462,0.2449205762837089,1,3
152896.1051,2020,골목상권,2110981,국악고교사거리,2105,876,361,140411,0,0,0,0,67409,691,0,0,75033.6,72492.0,543,2865.53690278628,0.5933925736919403,1.3351332908068656,1.0384370039608954,0.1714964370546318,1,3
26878.68478,2020,골목상권,2110982,강남구보훈회관,837,409,166,58802,0,0,0,1,19865,0,0,0,30688.6,32057.0,844,2865.454278682527,0.0,0.5033979360684622,0.5033979360684622,0.1983273596176822,1,3
125321.721,2020,골목상권,2110983,국립국악고등학교,2836,1257,783,123815,1,0,0,0,56041,0,0,0,60867.0,57733.0,602,2864.949055651171,0.0,0.535322353277065,0.7137631377027533,0.2760930888575458,1,3
83406.01812,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),4522,1948,1556,322151,0,0,0,1,137097,223,0,0,136647.0,132774.0,1079,2865.2025731597687,0.0729410563323778,0.8752926759885337,1.0211747886532894,0.3440955329500221,1,3
135846.0326,2020,골목상권,2110985,청담근린공원,980,472,1338,72076,0,0,0,0,43265,0,0,0,45843.8,40910.5,239,2865.265105455006,0.0,0.6934011325551832,0.2311337108517277,1.3653061224489795,1,3
73670.48913,2020,골목상권,2110988,청담역 3번,1340,480,1594,35191,0,0,0,0,79185,0,24672,1,26772.6,26296.0,345,2865.563300752864,0.0,0.3788596325061564,0.6314327208435941,1.18955223880597,1,3
117604.3164,2020,골목상권,2110989,대치동아우편취급국,1575,908,444,143955,2,0,0,3,40587,0,0,0,104013.0,83059.0,671,2865.946965740688,0.0,2.217458792224112,1.7246901717298642,0.2819047619047619,1,3
98996.39915,2020,골목상권,2110992,도곡초등학교,8040,3724,2179,491004,2,0,0,1,138866,0,0,0,263059.2,288035.5,1927,2865.317884544077,0.0,1.2962136160039175,0.5760949404461855,0.2710199004975124,1,3
38665.42391,2020,골목상권,2110994,개포고등학교,1706,744,494,191347,1,0,0,4,61589,0,0,0,89081.8,85755.5,321,2863.8509061446366,0.0,0.9741999383006704,2.7602331585185667,0.2895662368112544,1,3
43771.31884,2020,골목상권,2110995,봉은사역 4번,2888,1115,5085,152676,0,0,0,0,122756,5,0,0,80714.2,80878.0,893,2864.086897362848,0.0814624132425299,0.2443872397275897,0.5702368926977093,1.7607340720221607,1,3
47214.5942,2020,골목상권,2110996,대치2동주민센터,1545,729,1959,164310,1,0,0,0,112840,0,0,0,108410.8,102977.0,727,2863.736808644015,0.0886210563629918,0.2658631690889755,0.3544842254519674,1.2679611650485436,1,3
226543.0792,2020,골목상권,2110997,대청초등학교,7401,3439,1724,843823,0,2,0,6,236963,8606,0,0,376414.6,361136.5,739,2862.900729047281,0.5486088545469123,0.8862143034988584,2.1522347370686563,0.2329414943926496,1,3
234568.0,2020,골목상권,2110999,윗방죽마을공원,3125,2339,268,19725,0,1,0,0,239796,2599,0,0,11704.8,12535.0,17,2862.6808708995068,0.1668084538524412,0.2502126807786619,0.1668084538524412,0.08576,1,3
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),458,199,39,3315,0,0,0,0,52892,550,0,0,8372.0,7872.5,0,2862.920954526026,0.1890645088104061,0.5671935264312183,0.9453225440520304,0.0851528384279476,1,3
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,317,0,317,0,0,0,0,0,59240,617,0,0,8.4,66.0,0,2863.737740935071,0.1688048615800134,0.5064145847400405,0.5064145847400405,1.0,1,3
137463.1649,2020,골목상권,2110949,한남IC,564,281,1683,62156,0,0,0,0,62126,0,0,0,48256.0,40918.5,112,2863.737740935071,0.0,0.965779222869652,0.482889611434826,2.984042553191489,1,4
92178.30435,2020,골목상권,2110951,신사은행나무공원,979,574,273,132045,0,0,0,0,29000,0,0,0,87944.0,72718.5,161,2863.928226886356,0.0,1.0344827586206895,0.3448275862068966,0.278855975485189,1,4
140522.221,2020,골목상권,2110952,논현목련공원,868,571,117,51590,0,0,0,0,21629,0,0,0,24291.8,24552.5,257,2864.653124192592,0.0,1.387026677146424,0.9246844514309492,0.1347926267281106,1,4
26777.27899,2020,골목상권,2110954,국기원,448,303,636,41906,0,0,0,2,39798,0,0,0,58139.8,54275.0,34,2864.879363528502,0.0,0.7538067239559777,0.7538067239559777,1.4196428571428572,1,4
248003.9097,2020,골목상권,2110955,논현초등학교,7089,4515,3430,704867,0,0,0,0,190912,0,0,0,402306.8,377699.0,2056,2865.766537629013,0.0,1.5190244720080457,0.6285618504860878,0.4838482155452109,1,4
177715.3496,2020,골목상권,2110957,언북중학교,1761,1088,1251,173881,0,0,0,0,94815,0,0,0,143751.8,96399.5,529,2864.778924868975,0.0,0.6328112640404999,0.7382798080472499,0.7103918228279387,1,4
141416.0761,2020,골목상권,2110958,역삼역 4번,861,544,994,59420,0,0,0,0,73119,0,0,0,60105.6,37095.0,290,2865.442586510618,0.0,0.4102900750830838,0.5470534334441116,1.1544715447154472,1,4
